269: U' L' F2 R F' U D L U' L2 
270: U' R2 U R D2 L' F' R2 D L2 
271: U' R2 D' R2 D' L' F R D L2 
272: U' R' F U' L' R F B' D B' 
273: U' R' F U' R F L' B' D B' 
274: U' R' F L' U' R F B' D B' 
275: U' F U' D R U L' B' D R' 
276: U' F U' R2 U' L' B2 R' B' D 
277: U' F D L' U' R U B' D R' 
278: U' F2 U D F' U' L' R B' D 
279: U' F2 U R U2 F' L' U D L' 
280: U' F2 U R F' U L' D2 F2 D' 
281: U' F2 U F2 D' L' F R D L2 
282: U' F2 U2 D F' L' U' R B' D 
283: U' F2 D R F' L' B U' B2 D 
284: U' F2 D F' U' R U L' B' D 
285: U' F2 D F' L' U' R U B' D 
286: U' F2 R B2 U2 F' U B2 L' D 
287: U' B2 D L' R U' F2 B' D' R 
288: U' B2 D L' R2 B' R' U' F2 D' 
289: U' B' R2 U' R D L F' B R 
290: U' B' R2 U' R D L B R F' 
291: D L D R' U' R' B' D' F2 B' 
292: D L R U' F2 B' R D' R' D 
293: D L R U' B' R D' R' D F2 
294: D L F L2 U' R B U2 B2 D 
295: D L F L2 U' R B' D2 F2 D' 
296: D L F' R' U F U2 R2 F2 B' 
297: D L2 U L F R B U B2 D 
298: D L2 U2 L2 F U' L' R B' D 
299: D L2 U2 B' D L F D B L' 
300: D L2 U2 B' L F B R D L' 
301: D L2 U' L F R D2 F D' L2 
302: D L2 U' L' F R B' L2 D L2 
303: D L2 D2 L F U' R U D L2 
304: D L2 D2 F R F' L F D L2 
305: D L2 B' D L F R2 D B L' 
306: D L2 B' L F R2 B R D L' 
307: D L' U' R U D2 F D' L2 R' 
308: D L' U' R U' B U' B2 D R 
309: D L' R2 U B2 D2 B D2 R' D 
310: D L' F U R' B' R2 D2 F D' 
311: D L' F U2 R' B' R2 D' R D2 
312: D L' F U' R U B U B2 D 
313: D L' F U' R B' U' D' R2 D2 
314: D L' F U' R B' D L2 U L2 
315: D L' F B' D' R F U2 R2 D2 
316: D R U2 D' L' D2 B D' L2 B' 
317: D F U2 L' R2 B' R' D' R2 D2 
318: D F U' D' F2 D L' R B' D 
319: D F U' L' D' F2 D R B' D 
320: D F U' L' R F' U2 F B' D 
321: D F U' R F' U2 L' F B' D 
322: D F U' R F' U2 F L' B' D 
323: D F D2 L2 U' D2 L R B' D 
324: D F L' U2 R2 B' R' D' R2 D2 
325: D F L' U' D' F2 D R B' D 
326: D F L' U' R F' U2 F B' D 
327: D F L' D2 L2 U' D2 R B' D 
328: D F L' B2 D2 L2 F' D' L B 
329: D F L' B' U2 R2 D L B L' 
330: D F B2 D2 L2 R F' D' L B 
331: D F B2 D2 L2 F' R D' L B 
332: D F' U2 R2 F B2 R D' L B 
333: D F' L' F2 U' F R F' B' D 
334: D F' L' F2 L U' L' R B' D 
335: D B' D' L D R2 B' L' R D' 
336: D B' L R2 B D B2 L' R D' 
337: D B' L R2 B2 D B L' D' F' 
338: D B' L B' D' F D2 L' R D' 
339: D B' R2 U' D2 B' D' L F' B 
340: D B' R2 D' L D B' L' R D' 
341: D2 L D B' R2 U' B' L' D' F2 
342: D2 L R U2 D L' R2 B D' B' 
343: D2 L F R U' B L' D L F2 
344: D2 L B D F L2 B D2 L' D' 
345: D2 L2 U L F R B' U B2 D 
346: D2 L2 U L' F R B L2 D L2 
347: D2 L' U F B2 R' U D2 L' D' 
348: D2 L' U B2 U' F U D2 L' D' 
349: D2 L' U2 F U' R B' U2 B' D 
350: D2 L' U' F B2 U D2 L' F D' 
351: D2 L' D F U' R U2 B2 D F' 
352: D2 L' D2 F U' F2 U2 B2 L' D' 
353: D2 L' F U' R B2 U' D' R2 D2 
354: D2 L' F U' R B2 D L2 U L2 
355: D2 L' F U' R2 D2 F2 U2 L D' 
356: D2 L' F U' R2 B2 D2 F2 L D' 
357: D2 L' F U' R' U D' F2 D2 L2 
358: D2 L' F U' R' U' D' R2 D2 B2 
359: D2 L' F U' R' D2 F2 U2 L2 D' 
360: D2 L' F U' B2 D2 F2 U2 L' D' 
361: D2 L' F R2 B2 R' D L' U L' 
362: D2 L' F B2 U' D2 F2 U2 L' D' 
363: D2 L' F B2 U' B2 R U2 B2 D 
364: D2 L' F B' U' B R U2 B2 D 
365: D2 L' F2 U F' B2 U D2 L' D' 
366: D2 R D' L R' F' U' R2 F2 B' 
367: D2 R2 D L' F D2 B' L' D' L' 
368: D2 R2 D R' U L' F D L2 R' 
369: D2 R2 B2 R B2 U' B' D' L B' 
370: D2 R2 B' U D2 R' B' D L F 
371: D2 R2 B' U' D2 R' B' D L F' 
372: D2 R2 B' D2 R' U' B' D L F' 
373: D2 R' U' D2 L' F' B' D L2 B' 
374: D2 R' U' R' B2 R B D' L B' 
375: D2 R' U' R' B' U' D' L F' B' 
376: D2 R' U' B' R' B' R D' L B' 
377: D2 R' B' U' R' B' D' L F' B' 
378: D2 F L' R' D2 F' U' D' B2 L 
379: D2 F L' R' D2 F' D2 R2 D L 
380: D2 F' U2 D B2 L R F L2 D' 
381: D2 F' U2 F2 B2 L' R F' D' L 
382: D2 F' U2 B2 R F2 L' F' D' L 
383: D2 F' D2 F2 L' R D2 F D' L 
384: D2 B2 U2 B2 D L' F R D L2 
385: D2 B2 U' D B2 L' F R D L2 
386: D2 B2 D2 F D2 L' R F' D' L 
387: D2 B2 L' F U' R F2 U2 B2 D' 
388: D2 B2 R2 D L' B' R' F D' L2 
389: D2 B2 R2 B' R2 U R D' L B' 
390: D2 B' R U D' L F R' F B' 
391: D2 B' R D' L U F R' F B' 
392: D2 B' R2 D' R' U' L F' B' R 
393: D2 B' R2 D' R' U' L B' R F' 
394: D2 B' R2 F B' L' R F' D' L 
395: D2 B' R2 B' R F L' F' D' L 
396: D2 B' R' U D' F' R' F L B' 
397: D2 B' R' D' F' U R' F L B' 
398: D' L U' F2 R' F U' R2 F' B2 
399: D' L R B L2 R' F R D L2 
400: D' L F D' L2 U R U D R2 
401: D' L F D' L2 U R U2 F2 D 
402: D' L F L2 U2 D' R2 D R' D 
403: D' L F L2 U' R U' D' R2 D2 
404: D' L F L2 U' R D L2 U L2 
405: D' L F L2 U' R B2 U2 B2 D 
406: D' L F R F2 U' R2 F2 U' B2 
407: D' L F B2 D' L2 U' F2 R' D 
408: D' L F2 D' F' L U L R D 
409: D' L F' U2 D' R D2 R B2 D' 
410: D' L F' D F2 L2 R D2 F2 D' 
411: D' L F' L D L F2 R D L2 
412: D' L B2 L U L F D B2 L2 
413: D' L2 U L F U R U' D L2 
414: D' L2 U L F B2 D2 L' D' L' 
415: D' L2 U L F B' D L B L 
416: D' L2 U2 L U F U' R D L2 
417: D' L2 U2 L U F R U' D L2 
418: D' L2 U2 L U2 F U2 R D L2 
