539: L2 R' D F' U2 B2 L' D' L F 
540: L2 R' F U2 L U' L' U R D 
541: L2 F R2 D L2 B L2 U' R B2 
542: L2 F B' U' F B D B2 R B2 
543: L2 F2 L2 U' D B' R F2 U' B 
544: L2 F2 B' U F B D B2 R' B2 
545: L2 F' U D F U B2 R' F' B2 
546: L2 F' D F U F B2 R' F2 B2 
547: L2 B2 U F' D' R' U' L R' D2 
548: L2 B2 R' F B' U B' D2 L' D' 
549: L' U L2 B2 U L U2 F' D L2 
550: L' U L' R2 F' D' L U F2 D2 
551: L' U L' R2 F' D' L D R2 D 
552: L' U L' F' R' U' R D' L D2 
553: L' U F2 L' U' F' D B2 R' B2 
554: L' U F2 L' F' U' D B2 R' B2 
555: L' U B2 D F U2 R' U L2 F2 
556: L' U2 L2 U' L' R2 F' L2 R2 D 
557: L' U2 L2 B U' L' F' B' L2 D 
558: L' U2 L2 B U' B' L' F' L2 D 
559: L' U2 B U' B' L' F' D' L D2 
560: L' U2 B L U' F' B' U' L' D 
561: L' U2 B L U' B' U' F' L' D 
562: L' U2 B2 L B' U' F' B' L' D 
563: L' U' L2 F' D B' R F U B 
564: L' U' L' F2 D B' U R U' B 
565: L' U' B U2 L B' U' L' F2 D 
566: L' U' B U2 L B' U' F2 L' D 
567: L' D F B2 D R U' B' L2 D' 
568: L' D' R U2 B2 R' D' R2 B D' 
569: L' D' R U2 B2 R' D' B R2 D' 
570: L' D' F2 L F2 U' B' D2 R F2 
571: L' D' F2 L F2 U' B' D2 F2 R 
572: L' D' B2 R F2 B' U2 D' L B2 
573: L' D' B' U' F' U2 F D2 R' F 
574: L' R' U' L' F R D L U L' 
575: L' B D B U' D2 L2 B' R F 
576: L' B L B' R' U' L' F R D 
577: L' B L B' R' U' F L' R D 
578: L' B2 U' D2 F' B' D' R F L2 
579: L' B2 U' B' D R F L' F' L' 
580: L' B2 U' B' D F L' R F' L' 
581: L' B2 U' B' D F L' F' L' R 
582: L' B2 D2 F' U' B' D' R F L2 
583: R U B' R2 D2 R U' B L' D 
584: R U2 D2 B' R2 U' L' D2 R D 
585: R D F2 B D L' B2 L2 R D' 
586: R F2 D2 B' U' L U D2 L2 D 
587: R F2 D2 B' U' L D2 L2 D F2 
588: R F2 L2 D' L' D' B' U D' B 
589: R F2 L2 R2 F U R' D2 L' D' 
590: R F' L2 D' F' U' D' B' L D' 
591: R F' L2 D' F' D' L' B' L2 D' 
592: R F' L2 R2 F R' D L U L' 
593: R B2 L2 R' U F' B2 U2 D L2 
594: R B2 R F2 D' L2 F' R2 B2 D 
595: R B' L' U' F2 L D2 B L2 D 
596: R2 U L' U2 D F2 B U2 R B 
597: R2 U L' U2 D B R F2 U2 B 
598: R2 U L' R F R2 D' B2 D2 B 
599: R2 U L' F' U' L2 U D B R 
600: R2 U R F D2 L' U R2 D' B' 
601: R2 U R F L U2 R2 D F2 B' 
602: R2 U R F L' R2 D' B2 D2 B 
603: R2 U F2 D2 L B L2 D' F' B' 
604: R2 U2 D2 B2 D' B U R F2 B2 
605: R2 U2 L D2 B' R2 U L B D' 
606: R2 U' L D R' F2 B U R B 
607: R2 U' L D R' F2 B R U B 
608: R2 U' L D B R' F2 R2 U B 
609: R2 U' R' F D2 L' B' D' F B' 
610: R2 D' F2 L2 R2 F' D' L R2 D2 
611: R2 F2 L2 D2 L B2 U' B' D' B' 
612: R2 F2 L2 F2 U' D B R U' B 
613: R2 F' U' L' D F2 B R U2 B 
614: R2 F' L U2 L U' D2 L B D' 
615: R2 F' L2 R F R D L U L' 
616: R2 F' L2 F U D B U2 R B2 
