189: D2 B U2 D R' U' F2 U2 L D' 
190: D2 B D L' U R' U L' D' L' 
191: D2 B D R B2 U B2 R2 F2 L 
192: D2 B L U D L R F2 R2 D' 
193: D2 B L D L U R F2 R2 D' 
194: D2 B L D2 R2 U D' L R D' 
195: D2 B L2 U2 R' D' R F2 L2 F2 
196: D2 B L2 U2 R' D' F2 R F2 L2 
197: D2 B L2 R' D' R U2 F2 L2 F2 
198: D2 B L2 R' D' F2 L' R F2 L2 
199: D2 B L2 R' F2 D L2 D2 L' R 
200: D2 B L2 R' F2 D L' D2 L2 R 
201: D2 B L' U D L' R' U D' L2 
202: D2 B L' U L2 D L R' F2 D' 
203: D2 B L' U2 L2 U D L R' D' 
204: D2 B L' U' D L' U' R' D' L2 
205: D2 B L' U' D L' R' U' D' L2 
206: D2 B R B2 U B2 R' F2 U2 L2 
207: D2 B R' U' D R2 F2 L R D2 
208: D2 B R' U' D F2 L2 D2 L' R 
209: D2 B R' U' D F2 L' D2 L2 R 
210: D2 B R' U' D' R2 U2 B2 L' R' 
211: D2 B' U2 B L2 F2 D' L R2 D 
212: D2 B' D L' U' L' R' U2 F2 D' 
213: D2 B' L2 R U D' R' F2 U2 L2 
214: D2 B' L' U' D L' R' U2 F2 D' 
215: D2 B' L' U' L' R' U2 F2 D' R 
216: D2 B' R U L' R' F2 B2 U2 L2 
217: D2 B' R' U D L' R' D2 R2 B2 
218: D2 B' R' U L2 F2 D' L R B2 
219: D2 B' R' U' D' L R U2 B2 L2 
220: D2 B' R' U' L D' R U2 B2 L2 
221: D2 B' R' B2 U' D F2 L' D2 L2 
222: D' L U' L' R' F' L2 U2 F2 D' 
223: D' L2 R F' U D' R2 F2 L R2 
224: D' L' U2 L F L2 F' R' D' L 
225: D' L' U2 F L' D' F U L' F' 
226: D' R F L2 F U' D R B2 D2 
227: D' R B D B U B2 R2 F2 L 
228: D' R B D2 B L2 B2 R2 D' L 
229: D' R B2 U B' D B' R2 F2 L 
230: D' R' U' L2 F' U2 D' L2 B L' 
231: D' R' D' B' U R2 B2 R2 U2 L' 
232: D' R' F U2 D2 R2 B' U' D L' 
233: D' R' F U2 F D2 R2 B D L 
234: D' R' F U2 F D2 B R2 D L 
235: D' R' F L2 F' U' D' F2 L F2 
236: D' R' F2 R F L2 F' R' D' L 
237: D' R' F2 R2 F L2 F' R2 D' L 
238: D' R' F2 R' F L2 F' R D' L 
239: D' R' F' U2 F2 U2 L2 F' D' L 
240: D' R' F' L2 D2 B2 D2 F' D' L 
241: D' R' B L2 F2 B' D2 B D L 
242: D' R' B L2 B2 U2 F2 B D' L 
243: D' R' B2 U' B' D F2 L2 D2 L' 
244: D' F U2 D2 R2 B' L' U' D L' 
245: D' F U2 L U' D' L' F' B2 L2 
246: D' F U2 L U' D' B2 L' F' L2 
247: D' F L F U F2 L' R' D' B 
248: D' F L2 U' R2 D' L' U' F' L2 
249: D' F L2 F' L' U2 L R' D' L 
250: D' F L2 F' R' U' D' F2 L F2 
251: D' F2 U2 R' D2 R' B L D L 
252: D' F2 U2 R' D2 B L R' D L 
253: D' F2 R2 B U2 D L R2 F D 
254: D' F' L2 F R' F U2 F D' L 
255: D' F' L2 F2 U2 D' L' F' U L' 
256: D' B U' R2 B2 U' F L' R2 D 
257: D' B L2 B' R' F2 D2 B D L 
258: D' B2 U B' U F2 L D B' L 
259: L U D' B2 L R' F2 B' D' R2 
260: L U L R B R2 F2 U2 D' R2 
261: L U L B R2 F2 U2 R D' R 
262: L U L B R2 F2 R U2 D' R2 
263: L U' D' L R' U2 F2 B D' R2 
264: L U' L U2 B R2 F2 R D' R' 
265: L U' L' D' R' F' L2 U2 F2 D' 
266: L U' L' R' F' L2 U2 F2 D' R2 
267: L D R F B2 U F2 L' R B 
268: L D B2 R F B2 U F2 L' B 
269: L D2 L' B U' F2 D B2 L D 
270: L D2 B2 U L R' F2 B D' R2 
271: L D' B U L B R' F2 D' R2 
272: L R B2 D2 F U R F2 L' B 
273: L R2 D2 L F' R D L2 D2 L 
274: L B U D L R F2 R2 B D' 
275: L B U D L R F2 B R2 D' 
276: L B U D L B R F2 R2 D' 
277: L B U D' B2 L R' F2 B' D' 
278: L B U R2 D L R F2 B D' 
279: L B D2 R2 U D' L R B D' 
280: L B L2 U D' L' R' F2 B' D' 
281: L B2 U L R B R2 F2 D' R2 
282: L B2 D R F B2 U F2 L' B 
283: L2 U R' B2 U F D' L' U L' 
284: L2 U B2 U F D' L' U F' L' 
285: L2 U2 D' R F L' U L' R F2 
286: L2 U2 D' R F L' U L' F2 R 
287: L2 U2 D' R F L' U R F2 L' 
288: L2 U2 D' R F L' U F2 L' R 
289: L2 U2 L' U' L B2 R' F' D' L2 
290: L2 R U F' U D' R2 F2 L F 
291: L2 R U F' U D' F R2 F2 L 
292: L2 R U2 F' D' R U' R F2 L 
293: L2 R U2 F' D' R2 F2 U' L F2 
294: L2 R F U B R' B D' L' F2 
295: L2 R F U B R' B D' F2 L' 
296: L2 R F' U D' R2 F2 U L R2 
297: L2 R F' U D' R2 F2 L U R2 
298: L2 R F' U2 D' R U' R F2 L 
299: L2 R F' U2 D' R2 F2 U' L F2 
300: L2 R F' B2 U2 D2 L2 D L R2 
301: L2 R F' B2 D L2 U' B2 D2 L 
302: L2 R F' B2 D L2 D' R2 D' L 
303: L2 R B2 R F' R D L2 D2 L 
304: L2 R2 U R' F' U D' R2 F2 L 
305: L2 R2 U F' R' U D' R2 F2 L 
306: L2 R2 F' U R' U D' R2 F2 L 
307: L2 R2 F' R' B2 R2 D L2 D2 L 
308: L2 R2 B2 L2 B U2 D L R2 D 
309: L2 R' U R2 F' U D' R2 F2 L 
310: L2 R' U B2 U F' D' F' L F 
311: L2 R' B2 U F' B2 D' F' L F 
312: L2 F U2 D' L' R F' R U' L' 
313: L2 F R U F' B R' B D' L' 
314: L2 F R U B R' B D' L' F' 
315: L2 F R' F2 U B2 R2 D' L F' 
316: L2 F R' B2 U R2 B2 D' L' F' 
317: L2 F2 U B R2 F2 R' U' B D' 
318: L2 F' R U2 D' R2 F2 U' L F' 
319: L2 F' R' B2 U B2 D' F2 L F' 
320: L2 B U R2 F2 R B U' B D' 
321: L2 B' R U2 F' D' R2 U' F2 L 
322: L' U D L' R' F2 U2 B D' R2 
323: L' U D2 L D' R' F L2 F D' 
324: L' U D' L' R' F2 U2 B' D' R2 
325: L' U D' L' R' F2 B U B2 D' 
