202: R' U2 F' B U' L2 F2 D R2 B' 
203: R' U2 B U' L2 F D B U2 B2 
204: R' U2 B2 U D' F B' U' L2 D 
205: R' U2 B2 U D' B' U' F L2 D 
206: R' U2 B2 U2 F B' D' B2 D2 B' 
207: R' U2 B2 D2 B U' D F D L2 
208: R' U2 B2 D' F U B' U' L2 D 
209: R' U2 B' L D2 B' D' F B' D 
210: R' U2 B' L2 F2 D F' B2 D B 
211: R' U' D L2 F2 R2 F' B' D F2 
212: R' U' D R2 F2 B D2 B2 D' F' 
213: R' U' D R2 F' B D2 B2 D' F2 
214: R' U' D R2 B D F D B2 D' 
215: R' U' D F R2 B D' B2 D2 F 
216: R' U' D F B' R2 B2 D' B2 D2 
217: R' U' D F' L2 F2 R2 B' D F 
218: R' U' D B' U F2 R2 D F' D 
219: R' U' D' F' B R2 F2 D' B2 D2 
220: R' U' R2 B2 U' B' D2 B2 D' F 
221: R' U' F D B' U F2 R2 D2 R2 
222: R' U' F2 D' F' B R2 D' B2 D2 
223: R' U' F' D L2 F2 R2 B' D F 
224: R' U' B2 U' B' U' L2 F D B' 
225: R' U' B2 U' B' U' F L2 D B' 
226: R' U' B' L D R2 B2 D2 B D' 
227: R' D L F2 U B' R D F' D 
228: R' D L F' U F' L2 B' R D2 
229: R' D R2 U L2 F' U' B' R2 D' 
230: R' D R2 U L2 F' B' U' R2 D' 
231: R' D R2 U F L2 F' B' D' F 
232: R' D R2 U F' L2 F' B' D' F' 
233: R' D R2 U' R2 F B D' B2 D2 
234: R' D R2 D' B D F U R2 B' 
235: R' D R2 F D' B U D R2 B' 
236: R' D R2 F2 L2 B D' F' B2 D' 
237: R' D R2 B' U L2 U2 D' L2 F 
238: R' D R2 B' D F2 U R2 D2 F' 
239: R' D R' U F L2 R' F' B' D' 
240: R' D R' U F2 L2 F' R' B' D' 
241: R' D F D' F D B D' B2 D2 
242: R' D F L' B2 D' F B R D2 
243: R' D F B2 D' F B U R2 D2 
244: R' D F B2 D' B U F R2 D2 
245: R' D F B' U F R2 D F' D 
246: R' D F2 L2 B' D' F' U D' R2 
247: R' D F2 B2 D F' B' D' B2 D2 
248: R' D F2 B' U D F' D' R2 D2 
249: R' D F2 B' U2 D F' D2 F' D' 
250: R' D F2 B' U2 D' F2 D2 F D 
251: R' D F2 B' D F' U D' R2 D2 
252: R' D F2 B' D F' U2 D2 F2 D' 
253: R' D F' U F' L2 B' D' F' D' 
254: R' D F' B' U L2 U2 D2 B L2 
255: R' D F' B' U F' L2 U2 D2 L2 
256: R' D F' B' U F' R2 U2 D2 R2 
257: R' D B U B' L2 R2 F' B' D' 
258: R' D B' D F U D' F R2 D2 
259: R' D B' D F D' F U R2 D2 
260: R' D B' R F U F R2 D2 R 
261: R' D B' R2 F2 U R2 D F D 
262: R' D2 R2 U D' L2 F' B' D' F2 
263: R' D2 R2 D2 B D F U R2 B' 
